lpad;rmo;hh_sno;sex;sex2;sex3;edu;edu1;edu2;edu3;edu4;edu5;edu6;edu7;edu8;edu9;edu10;edu12;edu15;edu18;occ;occ2;occ3;occ4;occ5;hh_f;hh_f2;hh_a;hh_a2;c01m;c01f;c01h;c02m;c02f;c02h;c03m;c03f;c03h;c04;c05;c06;c07;c08;c09;c10;c11;c12;c13;c14;c15;c16;c17;c18;sf;mf;lf;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28h;c28f;c29h;c29f;c30h;c30f;c31h;c31f;c32h;c32f;c33h;c33f;c34h;c34f;c35h;c35f;c36h;c36f;c37h;c37f;c38h;c38f;c39;c40;c41a;c41b;c42a;c42b;c43a;c43b;c44a;c44b;c45a;c45b;c45c;c46a;c46b;c47a;c47b;c48;c49;t101;t102;t103;t104;t105;t112;t113;t114;t121;t122;t123;t124;t125;t127;t128;t129;t130;t131;t132;t134;t135;t157;t158;t159;t160;t161;t167;t169;t175;t176;t177;t179;t182;t185;t106;t107;t108;t109;t110;t111;t115;t116;t117;t118;t119;t120;t126;t133;t136;t137;t138;t139;t140;t141;t142;t143;t144;t145;t146;t147;t148;t149;t150;t151;t152;t153;t154;t155;t156;t162;t163;t164;t165;t166;t168;t170;t171;t172;t173;t174;t178;t180;t181;t183;t184;t186;t187;t188;t189;t190;t191;t192;t193;t194;t195;t196;t197;t198;t199;t200;t201;t202;t203;p501a;p501b;p502a;p502b;p503a;p503b;p504a;p504b;p505a;p505b;p506a;p506b;p507a;p507b;p508a;p508b;p510a;p510b;p511a;p511b;p512a;p512b;p521a;p521b;p522a;p522b;p523a;p523b;p524a;p524b;p538a;p538b;p539a;p539b;p546a;p546b;p548a;p548b;p549a;p549b;p550a;p550b;p551a;p551b;p572a;p572b;p509a;p509b;p513a;p513b;p514a;p514b;p515a;p515b;p516a;p516b;p517a;p517b;p518a;p518b;p519a;p519b;p520a;p520b;p525a;p525b;p526a;p526b;p527a;p527b;p528a;p528b;p529a;p529b;p530a;p530b;p531a;p531b;p532a;p532b;p533a;p533b;p534a;p534b;p535a;p535b;p536a;p536b;p537a;p537b;p540a;p540b;p541a;p541b;p542a;p542b;p543a;p543b;p544a;p544b;p545a;p545b;p547a;p547b;p552a;p552b;p553a;p553b;p554a;p554b;p555a;p555b;p556a;p556b;p557a;p557b;p559a;p559b;p560a;p560b;p561a;p561b;p562a;p562b;p563a;p563b;p564a;p564b;p565a;p565b;p566a;p566b;p567a;p567b;p568a;p568b;p569a;p569b;p570a;p570b;p571a;p571b;p573a;p573b;p574a;p574b;p575a;p575b;p577a;p577b;p579a;p579b;p580a;p580b;p581a;p581b;p582a;p582b;p584a;p584b;p585a;p585b;c04gtrhh;c05gtrhh;c06gtrhh;c07gtrhh;c08gtrhh;c11gtrhh;c12gtrhh;c13gtrhh;c14gtrhh;c17gtrhh;c18gtrhh;c19gtrhh;c20gtrhh;c21gtrhh;c22gtrhh;c23gtrhh;c24gtrhh;c25gtrhh;c26gtrhh;c27gtrhh;c02mfarm;c02ffarm;c02hfarm;c03mfarm;c03ffarm;c03hfarm;c07farm;c08farm;c19farm;c04smlf;c05smlf;c06smlf;c07smlf;c08smlf;c09smlf;c10smlf;c11smlf;c12smlf;c13smlf;c14smlf;c15smlf;c16smlf;c17smlf;c18smlf;c19smlf;c20smlf;c21smlf;c22smlf;c23smlf;c24smlf;c25smlf;c26smlf;c27smlf
20.46.49.002.073;5;50;45;5;0;30;0;0;0;0;13;2;3;1;0;0;1;0;0;49;0;1;0;0;0;50;1;49;103;98;0;0;0;0;8;1;0;74.5;0.8;5.5;79.2;6.01;2.73;2.03;0;10.77;27.91;34.32;0;0;6.2;68.43;41;3;1;1.2;0;0;0;0;0;0;0;0;304;400;20;10;0;0;0;0;0;0;52;0;0;0;82;0;0;0;55;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7.13;6.8;1.6;0;0;0;0;0;0.03;0.36;0;0.25;0.01;0;0.1;0.07;0.01;0.09;0.49;0;0;1;0;2.7;6.5;0.03;0;0;10.94;1.01;0;0.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.9;434;1.26;14;4.54;421;5.12;294;0;1;0.09;39;0;2;0;5;0.01;5;0;0;0.01;7;0;1;0.22;27;0.02;11;0.08;27;0.2;0;0.02;17;7.79;0;0;0;0;0;4.5;200;20.19;7451;0.01;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;2;11;50;50;0;50;44;40;9;50;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;78.77;5.8;1.2;74.07;0.8;5.5;78.77;5.8;2.66;2.03;0;10.49;27.76;34.32;0;0;6.2;68.28;1.2;0;0;0;0;0;0;0;0
20.46.49.003.073;2;1354;1249;105;0;193;20;50;40;68;175;37;66;147;74;215;103;105;60;25;6;290;395;638;17;1337;34;1320;2905;2819;1;0;0;0;71;1;0;1231.39;188;30.08;1073.54;83.11;12.09;24.25;10.3;129.75;295.32;594.26;22.8;1.4;30;943.78;144;125;8;82.3;0;1;15.7;0;0;0;0;0;1437;350;327;242;287;0;37;0;22;0;278;0;33;0;230;0;8;0;54;0;6;0;2;6;11;2;4;7;0;1;31;0;1;7;1;11;0;0;0;9;12;76.02;135.57;62.1;0.04;2.02;0.02;0.23;1.15;8.27;7.68;1.61;4.33;5.32;5.46;8.81;3.78;3.06;2.81;4.48;1.22;1.25;1.07;0;23.61;52.78;5.26;0;0.6;52.66;0.9;0.01;3.96;1.78;3.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.13;72.29;9020;23.3;1110;55.5;4567;46.67;2577;1.25;312;101.75;1253;0.81;188;0.27;102;0.15;31;0.01;5;1.8;251;0.08;14;0.71;87;1.75;304;1.83;282;1.6;0;3.32;1223;57.44;1250;2.54;939;0;3;27.97;1334;281.35;72404;0.79;108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;971;128;560;1338;1328;25;1332;212;263;34;351;62;0;4;4;0;0;0;0;0;0;0;0;15;0;0;1021.65;37.64;82.3;1085.32;85.4;21.73;1021.65;37.64;10.04;23.67;8.2;79.55;294.71;593.38;22.6;1.4;30;942.09;82.3;0;1;15.7;0;0;0;0;0
20.46.49.004.073;2;533;468;65;0;33;0;20;5;13;47;8;8;74;29;114;77;75;30;15;4;182;139;193;5;528;16;517;1082;1039;0;1;0;0;8;1;0;677.68;129.2;12.95;562.43;30.41;21.2;4.88;7.2;63.69;146.25;333.59;1.6;0;17.3;498.74;107;70;4;24.2;0;1.1;0.1;0;0;0;0;0.2;607;0;61;10;114;0;12;0;0;0;99;0;9;0;92;0;14;0;21;0;0;0;1;0;0;0;0;0;0;0;7;0;3;0;0;1;0;0;0;1;4;26.22;45.3;31.07;0;1.99;0.01;0;0.03;0.45;1.83;0.2;1.37;0.57;0;0.53;0.93;0.27;0.38;1.23;0.07;0.01;0;0;13.52;30.79;0.96;0;0;59.27;2.89;0.01;5.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.86;55.44;13029;2.12;78;16.01;1870;48.17;6842;0.25;129;3.68;530;0.19;33;4.06;320;0.09;18;0.02;2;0.17;30;0.15;160;0.27;33;1.77;836;0.32;92;0.3;0;0.82;745;26.22;0;0.36;226;0;0;3.51;441;150.14;50526;0.12;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;411;81;144;511;502;27;506;115;148;21;197;22;0;3;1;0;0;0;0;1;0;0;0;3;0;0;525.46;14.87;24.2;589.49;75.7;10.67;525.46;14.87;3.23;4.78;4.4;27.28;146.12;333.46;1.3;0;17.3;498.18;24.2;0;1.1;0;0;0;0;0;0.2
20.46.49.004.260;2;413;391;22;0;55;9;24;11;14;67;6;10;49;16;39;46;38;29;2;3;165;62;181;9;404;5;408;850;868;0;3;0;0;7;0;0;439.85;25.9;11.57;426.52;26.17;2.08;4.34;1.6;34.19;154.31;225.32;3.3;1.3;8.1;392.33;74;57;4;36.4;0;2.5;0;0;12;0;0;0.4;773;0;107;40;191;0;0;0;10;0;123;0;9;0;185;0;11;0;36;0;5;0;0;2;3;0;0;1;107;0;93;0;4;0;0;1;0;0;0;4;6;47.23;41.64;17.04;0;1.94;0;0.03;0.13;1.81;1.02;0.08;4.85;1.16;0.02;0.24;0.43;1.41;0.42;2.82;0.31;0.1;0;0;10.85;29.55;1.97;0;0;64.16;1.16;0;0.63;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.22;40.07;3675;6.74;339;15.02;1174;27.74;1855;1.62;75;4.32;267;0.55;69;0.15;18;0.1;12;0.02;5;0.56;38;0.12;12;1.88;86;1.01;105;0.61;133;0.03;0;2.38;1488;29.31;1998;2.07;383;0.01;4;5.58;1073;87.63;27319;0.25;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;318;20;182;405;400;2;404;121;170;22;200;34;0;8;0;0;1;0;0;1;3;0;0;4;0;0;414.02;18.88;36.4;416.66;12.1;8.46;414.02;18.88;0.77;2.24;1.6;23.49;153.94;224.49;2.7;1.3;8.1;390.53;36.4;0;1.9;0;0;12;0;0;0.4
20.46.49.005.260;2;736;679;57;0;25;2;25;7;8;91;4;3;127;10;165;122;86;61;3;2;386;141;204;8;728;10;726;1647;1591;0;0;1;0;25;4;0;677.79;225.7;19.83;471.92;41.23;30.73;20.87;17.3;110.13;55.97;288.12;5.3;1;11.4;361.79;128;19;9;8.1;0;4.3;0.3;0;0;0;0;0;972;60;242;210;504;0;0;0;47;20;102;72;1;14;128;47;0;0;0;0;1;0;1;3;3;0;0;0;1;0;4;1;1;2;1;2;0;0;0;0;1;27.42;45.84;11.09;2.24;2.01;0;0.3;0;2.28;5.24;0;0.29;0.36;0.75;0.44;0.11;0.09;0.45;0.37;0;0;0.2;0.2;10.01;20.01;0.17;0;0;12.73;0.61;0;1.47;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64.77;8476;10.98;1142;16.29;1925;34.66;3241;1.22;457;1.03;543;1.29;279;0.08;61;0.02;19;0.07;20;0.04;53;0.02;25;0.04;46;3.5;889;0.16;77;0;0;0.6;1142;8.86;0;2.17;457;0.2;976;10.81;1221;101.46;7528;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;550;110;325;712;702;56;710;93;174;12;221;12;0;8;1;0;0;0;0;0;0;0;0;3;0;0;395.21;14.75;8.1;445.4;59.3;9.11;395.21;14.75;0.8;10.78;10.1;36.43;55.53;287.25;3.6;1;11.4;358.78;8.1;0;4.3;0.3;0;0;0;0;0
20.46.49.005.589;2;168;162;6;0;7;2;3;0;0;17;0;2;18;5;49;37;28;0;7;0;100;16;45;0;168;11;157;366;362;0;1;2;0;12;3;0;500.16;347;6.08;159.24;5.98;25.73;0.25;1.3;33.26;33.8;73.98;0;0.9;17.3;125.98;37;12;4;19.5;0;0;0;0;0;0;0;0;239;800;40;118;56;0;2;0;0;0;44;0;7;0;66;15;1;0;21;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27.5;10.64;18.5;0;0.03;0;0;0;0.03;0.09;0;0.02;0.06;0;0.15;0;1;3.02;2.04;0;0;0;0;2.4;4.8;0;0;0;7;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.46;2627;1.62;33;8.45;627;6.21;461;0.12;75;2.05;194;0;4;0.01;19;0;0;0;1;0;5;0;2;0.02;7;0.03;35;0;5;0;0;0.23;269;3.33;0;0;0;0;0;4;0;44.73;6184;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128;50;81;168;168;4;168;31;85;5;95;11;0;0;0;0;0;0;0;0;0;0;0;3;1;0;137.68;3.24;19.5;210.73;77.6;4.55;137.68;3.24;8.04;0.22;0.9;12.4;33.73;73.35;0;0.9;17.3;125.28;19.5;0;0;0;0;0;0;0;0
20.46.49.006.260;2;1567;1399;168;0;470;56;81;28;39;295;24;49;199;32;166;77;35;16;29;62;167;177;1132;67;1500;36;1531;3742;3802;6;0;0;0;36;11;0;775.51;23.3;39.17;791.7;82.6;10.01;17.68;26.9;137.19;209.71;407.7;9.8;1.5;25.8;654.51;221;120;0;25.1;0;2.5;1.2;0;0.2;0;0;1.95;3729;1200;904;724;1269;70;59;0;93;13;449;0;48;0;445;12;36;0;32;0;1;0;0;9;4;1;3;13;20;0;155;0;1;2;0;0;2;0;0;2;18;20.08;94.17;38.47;0;9.55;0;0.33;0.18;4.51;5.36;0.64;4.53;5.66;0.31;4.15;2.79;3.22;4.02;3.91;0.06;0.53;0.06;0.01;23.96;64.82;2.98;0;0;48.27;5.56;0;5.82;2.34;1.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.32;88.9;14406;21.01;1589;54.85;5102;63.5;4029;5.89;1099;4.84;882;1.32;175;4.29;422;0.25;40;0.32;32;1.77;360;0.57;125;1.7;531;4.3;1558;3.76;262;1.86;999;1.48;802;61.58;640;3.94;801;0.33;72;41.48;1108;195.72;38912;1.11;254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1393;47;238;1564;1557;50;1561;376;529;35;686;22;0;7;1;0;2;0;0;4;0;0;0;13;4;0;726.88;33.17;25.1;714.98;20;31.58;726.88;33.17;6.9;15.05;26.1;81.22;207.26;403.5;7.6;1.5;25.8;645.66;25.1;0;2.4;1.2;0;0.1;0;0;1.95
20.46.49.007.260;2;1376;1234;142;0;82;4;23;7;10;128;11;6;134;49;257;293;210;162;59;7;634;338;338;10;1366;76;1300;2899;2923;0;1;0;0;87;38;0;1992.99;386;48;1654.99;68.4;36.4;12.22;16.6;133.62;357.77;1107.2;16.1;1.3;39;1521.37;336;175;32;70.8;0;8.3;3;0;0;0;0;0;692;600;163;419;196;0;19;30;12;0;177;0;18;0;108;0;8;0;22;0;0;0;1;1;1;0;0;1;0;0;21;0;3;2;0;4;0;0;0;0;4;158.21;224.99;83.46;0;1.63;0;0.03;1.07;3.37;5.22;0.67;3.27;1.69;0.15;1.14;1.12;1.46;1.54;2.18;0.21;0.35;0;0;35.27;83.85;1.48;0;0;53.93;0.29;0.01;12.23;0.05;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.24;429.86;53415;13.58;252;47.03;3738;94.21;8114;2.55;350;4.64;1754;1.32;204;0.11;118;0;6;0;0;0.26;83;0.08;21;0.32;64;3.72;794;2.34;743;1.25;0;2.14;2956;54.97;35;0.52;138;0.06;16;31.18;266;496.83;103365;1.01;528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1085;176;427;1358;1322;40;1340;376;533;90;725;51;0;11;2;0;0;0;0;0;1;0;0;22;9;0;1575.45;33.81;70.8;1759.02;222.7;39.13;1575.45;33.81;4.98;7.48;14.6;60.87;356.28;1105.2;12.8;1.3;39;1514.58;70.8;0;8;1;0;0;0;0;0
20.46.49.008.260;2;214;187;27;0;14;6;9;6;5;33;4;5;27;14;35;31;15;10;4;2;57;96;55;6;208;13;201;532;509;0;0;0;0;9;2;0;95.57;16.3;1.94;81.21;8.95;1.09;0.1;0.2;10.34;10.69;45.58;3.4;0;11.2;70.87;42;7;3;7.6;0;1.8;0.8;0;0;0;0;0;104;70;62;85;123;0;17;0;3;0;22;0;0;0;6;0;1;0;0;0;0;0;0;1;0;0;0;19;0;0;0;0;0;0;0;1;2;0;0;0;0;0.21;8.31;6.06;0;0.07;0;0.01;0.05;0.19;0.01;0.2;1.21;0.41;0;0;0.22;0.3;0.02;0.15;0.05;0.05;0;0;1.2;2.4;0.01;0;0;1.2;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.5;2807;1.67;31;3.84;381;7.05;295;0.18;117;0.15;280;0.02;30;0;9;0;5;0.04;13;0;5;0;8;0.03;9;0.08;87;0.01;13;0;0;0.19;245;2.8;0;0;3;0;2;4;29;14.41;513;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;18;50;213;212;2;213;17;29;37;64;4;0;2;1;0;0;0;0;0;0;0;0;4;0;0;74.09;3.66;7.6;83.85;10.9;1.14;74.09;3.66;0.51;0.1;0.1;4.37;10.58;45.54;2.4;0;11.2;69.72;7.6;0;0.8;0.8;0;0;0;0;0
20.46.49.009.260;2;1299;1178;121;0;173;7;54;20;25;164;25;26;191;47;276;160;106;24;181;8;367;342;401;49;1250;107;1192;2793;2746;0;10;0;0;171;113;0;1566.21;231.2;180.21;1515.22;79.87;18.02;14.05;23.8;135.74;513.46;825.82;12.8;4.6;22.8;1379.48;437;168;21;143.1;0;2.3;2.9;3.6;0;0;0;1.4;2469;920;355;351;316;0;7;0;16;20;840;67;111;0;325;66;19;0;44;0;0;0;9;46;39;5;5;20;70;0;49;0;28;12;7;1;0;0;0;0;11;75.41;335.53;159.4;1.2;18.15;3.7;2.87;0.23;20.59;26.12;7.3;13.99;9.15;0.42;5.48;5.46;7.28;11.99;10.04;3.47;6.6;1;0.05;64.32;156.75;23.45;0;1.1;85.23;2.28;0;3;0.83;7.97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.91;205.3;33302;8.37;350;20.36;3248;87.04;11936;0.61;385;2.9;1191;0.7;192;0.22;151;0;21;0.01;21;1.3;83;0.01;47;0.62;589;3.71;643;3.88;772;8.28;1011;42.28;1575;81.76;2898;1.2;213;0.8;25;23.06;2805;371.91;111946;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1080;176;457;1294;1293;54;1294;555;434;50;764;179;0;8;5;2;0;0;0;4;0;0;0;32;22;0;1460.96;53.33;143.1;1451.42;164.7;174.24;1460.96;53.33;8.37;12.26;12.5;86.46;512.07;824.53;10.5;4.6;22.8;1374.5;143.1;0;2.2;2.2;3.6;0;0;0;1.4
20.46.49.142.074;1;3189;2975;214;0;1056;79;243;232;142;355;107;117;256;212;246;107;23;12;2194;18;106;283;588;32;3157;1236;1953;6739;6609;0;160;103;0;3226;2821;0;8651.65;329;447.62;8770.27;235.71;30.83;184.74;13.8;465.08;2903.89;5306;22.8;7.4;65.1;8305.19;1715;1014;143;693.6;0;11.4;3.7;0.5;0;0;0;1.9;21097;7390;1149;420;679;0;27;0;146;30;2942;41;331;0;2233;206;114;0;1257;0;29;0;7;100;127;1;10;155;721;1;6035;18;679;20;1;592;0;0;0;58;502;480.07;1717.57;586.53;1.81;24.06;2.34;0.12;1.19;33.97;71.59;13.19;39.21;9.92;2.69;19.84;45.8;16.08;39.48;42.01;1.47;2.12;0.08;1.61;420.87;1170.59;47.09;0;0.1;884.64;30;2.19;59.32;3.54;92.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144.58;683.28;86088;27.85;1649;169.54;15153;465.09;42635;13.12;2225;42.93;4455;5.42;584;6.69;794;0.42;66;0.27;49;13.96;1524;0.16;28;20.57;1400;12.71;2311;5.53;1118;6.8;0;25.64;7613;671.91;99;16.45;1465;0;2;44.53;4443;1716;723966;3.15;1967;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3152;302;653;3186;3176;96;3183;2733;2812;174;2988;1184;0;21;7;2;0;0;0;4;90;49;0;1361;1227;0;8750.07;224.81;693.6;8630.68;327.4;446.79;8750.07;224.81;29.62;179.21;12.9;446.54;2903.68;5304.55;22.8;7.4;65.1;8303.53;693.6;0;11.4;3.7;0.5;0;0;0;1.9
